Finding a fit for 1000 stars, with 100 walkers for 20000 steps.
Graphs will be plotted...
A table will be printed...
Each sample will have its paramaters made to be ascending...
Mean acceptance fraction: 0.065903
Autocorrelation time: [ 96.78223682  97.5828728   95.60525858  95.47787288  98.36312929
  95.29904559  91.63043089  96.58517769]
 ____ GROUP 1 _____ 
Modelled mean: -2.02839790191, modelled std: 9.52704396597
'True' mean: 0.0, 'true' std: 10.0
With 31.9414226824% of the stars
 ____ GROUP 2 _____ 
Modelled mean: 1.3327493601, modelled std: 6.17533714868
'True' mean: 20.0, 'true' std: 3.0
With 23.203239406% of the stars
 ____ GROUP 3 _____ 
Modelled mean: 22.0541325433, modelled std: 5.52036767671
'True' mean: 25.0, 'true' std: 5.0
With 51.3252287599% of the stars

Cumulative fractions for reference:
[0.0, 0.5, 0.75, 1.0]
Star #	Group 1	Group 2	Group 3
200	65.59%	34.41%	 0.00%
201	36.90%	62.25%	 0.86%
202	54.99%	45.01%	 0.00%
203	29.30%	26.62%	44.09%
204	39.14%	60.83%	 0.03%
205	37.09%	62.79%	 0.12%
206	34.03%	35.72%	30.25%
207	39.17%	60.80%	 0.03%
208	42.99%	57.01%	 0.01%
209	92.48%	 7.52%	 0.00%
210	19.93%	13.79%	66.28%
211	29.71%	27.31%	42.98%
212	38.10%	58.07%	 3.84%
213	87.57%	12.43%	 0.00%
214	63.65%	36.35%	 0.00%
215	37.44%	45.74%	16.82%
216	31.91%	31.29%	36.80%
217	37.76%	62.18%	 0.06%
218	39.01%	60.96%	 0.03%
219	41.20%	58.79%	 0.01%
220	38.01%	58.52%	 3.47%
221	32.69%	32.83%	34.48%
222	 3.13%	 0.58%	96.29%
223	68.18%	31.82%	 0.00%
224	99.62%	 0.38%	 0.00%
225	43.38%	56.61%	 0.00%
226	72.99%	27.01%	 0.00%
227	36.80%	62.52%	 0.69%
228	41.44%	58.55%	 0.01%
229	37.70%	59.85%	 2.45%
230	20.01%	13.88%	66.12%
231	37.16%	61.53%	 1.31%
232	38.85%	61.12%	 0.03%
233	36.90%	62.93%	 0.17%
234	97.68%	 2.32%	 0.00%
235	37.95%	62.00%	 0.06%
236	37.28%	61.19%	 1.52%
237	33.53%	34.59%	31.88%
238	37.62%	62.31%	 0.07%
239	54.27%	45.73%	 0.00%
240	37.91%	58.99%	 3.10%
241	36.70%	63.02%	 0.28%
242	14.29%	 8.02%	77.69%
243	40.17%	59.82%	 0.02%
244	44.85%	55.15%	 0.00%
245	59.72%	40.28%	 0.00%
246	54.00%	46.00%	 0.00%
247	72.28%	27.72%	 0.00%
248	37.27%	62.63%	 0.10%
249	62.97%	37.03%	 0.00%
250	35.35%	38.96%	25.69%
251	95.74%	 4.26%	 0.00%
252	76.60%	23.40%	 0.00%
253	37.19%	62.70%	 0.11%
254	38.60%	61.37%	 0.04%
255	37.54%	62.38%	 0.08%
256	99.02%	 0.98%	 0.00%
257	38.13%	57.88%	 3.99%
258	54.22%	45.78%	 0.00%
259	60.61%	39.39%	 0.00%
260	13.03%	 6.91%	80.06%
261	43.22%	56.77%	 0.00%
262	36.70%	62.80%	 0.50%
263	36.70%	63.02%	 0.28%
264	36.68%	62.99%	 0.33%
265	37.41%	62.50%	 0.09%
266	37.26%	62.64%	 0.10%
267	74.69%	25.31%	 0.00%
268	95.35%	 4.65%	 0.00%
269	49.58%	50.42%	 0.00%
270	46.33%	53.67%	 0.00%
271	48.02%	51.98%	 0.00%
272	36.63%	42.74%	20.63%
273	35.28%	38.77%	25.95%
274	46.84%	53.15%	 0.00%
275	46.09%	53.91%	 0.00%
276	 8.41%	 3.35%	88.24%
277	37.09%	61.72%	 1.18%
278	44.96%	55.04%	 0.00%
279	37.00%	62.86%	 0.14%
280	45.48%	54.52%	 0.00%
281	36.70%	63.02%	 0.29%
282	74.47%	25.53%	 0.00%
283	 1.72%	 0.16%	98.12%
284	69.36%	30.64%	 0.00%
285	92.40%	 7.60%	 0.00%
286	37.97%	61.98%	 0.05%
287	51.72%	48.27%	 0.00%
288	46.43%	53.56%	 0.00%
289	46.00%	54.00%	 0.00%
290	52.49%	47.51%	 0.00%
291	36.90%	62.94%	 0.17%
292	46.97%	53.03%	 0.00%
293	95.86%	 4.14%	 0.00%
294	62.03%	37.97%	 0.00%
295	46.68%	53.32%	 0.00%
296	51.39%	48.61%	 0.00%
